code,04df57afb74c9d1424538cbc1e0bf8f4,05cd250b776274d5471a4c6c5666a2e6,0aa6767415c3c1d08d147c80b16ec596,1015386d123f77311c8143526806af2c,1bc8c1807a800c2c8220ca1a13e4fdb9,1c3011b89588d77b06edf79336340b48,2d9f509b0fba5e6b4d194a99a3dbe7d6,2e119ce67894fe00027176e52f17a225,318669d5d926e9b81ca6911da00a14ea,369906d432efb2e771efcab20af116bc,3adc131865eb04abe5833d6f1e1934e0,5e37bc937e93932df2fc004907a946d5,60f4ae1cfdd199254875a22d5639345f,619aaddca1bc37375a7dc661cf75f626,62d83e6469a666a9da44b4a20a02576d,679658942f667409a7b9907845816380,6c7a73ea69f6a4be19adb4ebe9cbaa5b,83626462931099277d1efec49d80f8b8,9643259e2f71dd41bca40b412be648af,987b07b51f215294b9ba396fc0da2eab,99b4b08d63c3459f7ad9f4a23395d664,9db2817f5c42be6a7bcbca662959982d,9f244ef658394443133c774ea0453cb6,a3a355da4d3be86c1a87a0abdcdf3ffc,a84f42c3cbe7d0f1da8107579d1c1045,adcbbca64d2d78a77b378db487717e38,b4270414d4ff342dbf992ab97c49804d,b806e0462569e4b3467b396640400484,c8c27991fc4b9dbaf393e756a8480704,cd3909b22b87684aafd93fcb66630f52,d44a2730599f5d4f4e1ed973cc9609f0,f37ff1c53a3044e23de94fa2841d200e,f4ddba285154bdd47f4dc510c2038305,f4ee137efcca412c21eb0a5a21e877ce,ffeb4dce4d9a48fdd4aa0e38c12ef52b,22ba79bc09a88468552595f7680bf750,c95c29828395a6f53f96e96619916532,960ca581bbfee6900de30113df17a5c8,16e1d9dade6c0443fc73246163bff500,879815b1626853f4af4a4f0e85703fd2,b74b5f757f62524bd193502e996a8974,4ba488fe6cd44569c6227acc4610ad8c,7e5e0f31bea6881e5fc4e59768e8d752,e311d3f69c3425c96a683f6f1f6810d0,0cce7982066124071e6a9861ef7a3a61,2ac71a21634d068d1ee3b67faa3773dc,5fad0a36af681b0a35076712bc87eb94,6eb542cf4da1cf62343e6da2c918b4f6,04be702b895fe5ed0568344daf564276,07c3160551922faa7be5740ea3adc189,682262f013e7bd0ff0ba0df91a47ce65,6e7896948c0d0e445a4ed015b1f45f15,95b23a46dec7fabd0501b227cef853f5,09403870435de24e0d1079059a287957,83e9012bd9b435199668f8391e827936,88386585d0db76209a15a24bd3f7b20a,938f31a4054ad061c7a8e224be622491,ffc36e27c82042664a16bcd4d380b286,ede58f307d3ec5c39ad03487b4037b36,deb100f8dd320dd1bd39e162efffae9a,53edd5f591ea14333cbaf052eae71373,b2b3c0f0b487edaf28d7a348b354cdcb,5285b6cd1a098e5b6b77518633db0301,db424461aa669374102fa17ac4539038,5f9cba1919f873f3f6a64593690bbd7c,58046ab41562fc1db9dd82b2893313dd,01d6c7d6202189e58690fa60293d03fc,08135439d312c5bdb27840a374c9fa92,4f359f019c5e22e6bd5bb03534b84411,e151e0a4bd98712e423de5a2607851b0,b9d614025bf292dfb0db9f43d7357e14,62611dedc42201591d0c89973f903dde,ac128988ee079ff7008a9024ac49f497,a7d60cba7160765ee7ef6fe3bf9704b7,bc4e3995ef291067acb3295ec94e26f1,83e200e6aa49b79396f052dd3db97e6b,7d1056cdb2c52aaeebcc69fae394fce9,b40ab2a6292c346f80cb6a1cde1db757,cb3a451b5f9718c07b491a77b14ef21f,8144e3f5463bf440bdbdd71684a7b0b2,523ebc6afe087772ff55bf0ae059d230,948fc93b1d7271574b285ca0495f6147,0a1f5ed70dcb37a86924dbd5fde981af,fb830a0029ddc33879db95290710436e,43a54829cc0d7a58a61ad7f833cc2b22,801e1f90ad7bbcc4f5045f392150eda0,ddc24800091152e698b23d25fa609944,699448fb38266307f1650576200697c3,dd8c8d60bfca3e1df01a4bbff8d3326e,5efc3d127df29a6f2e976cae828e203b,41452bafa4093acf3df277f328cec166,69d4d654db67d027bd1512bc4ca830e8,a6499c331ca652a5c070f51ef025b901,fd7575e2e1162127689250d39e8b6745,7b361820964e8c6ced5aec81f54bcfea,7ba72a8f6f80fd45920efa8ea047753a,d486760d6f805ff543544452ff88b539,101637aba474a6614786486ad42acb11,fb75db497305500e48fd32ae5d144b12,71eb0666483e7ab5d82b303b5e010327,5311695b1caad97461726c83ba792bc1,a0e18b10dcc89ad8f1103ce0780e57f9,aba8c17e313c37c938998554292445ba,df701982c0328d89ff9ea33512a9c967,bad96345dee787c9f6762d9b382960c5,673379cd9d82317b181de0b060da4477,f694423330cc15310b4306d045a4c81e,28140dabde227041d333d23976ce302f,81b50cbc69b355d6a2207d370e9634c5,6fccfd872b46e650eb693b1d2e80a363,4b594c8bf63bbb3f04615c7b142e1e14,bcae8f7d2c42acfe3559c665f68f6320,e31f1e7e52443d46f42759e43d6f5e90,f4d6321c5a128364c3ec9543e21e7cde,8cb24777cb48dde0aac60dfeca125d10,9c8fe4f590ed08b997a8ca49bb3bb647,ffe1e63147af5c2cd21231f1d5d59488,3bca2f062f71f0233c2ef027d85b1a00,355125e51ae04d2b38da4e215527f59f,49c3d040569c6a6613bb61294120585d,064344266fed8e574dbda1d04676bd63,f93b764d7ef2fc78c19f2d419cc3c5e5,073226a8e2ccf806373b8c189722b966,ce6ca56f80d5857e1c95e72b64d4086c,e5d85a0fd654e4ff7a2b0885c1580634,0bb967f0ee956c20acc1366b4bdca233,70ee9b6473de067755aa7c2ab6e5a65b,d23c2c7c5e43a787cae60ce5d18a5d2a,b42703827532a15625c00b481242c5e1,e7633f7cd02818be3e46bd6bae183eb2,5f8bc9840120e2fcddfb562429e6f0eb,59772a4c34956dfd7fe0b53268cec7d9,fffd4f5b0a950331549da5b598dc5879,71af81d84051f514c8d84f1fec019f68,6e7446aa416d11260a1e60a18e8670c3,2b868acb906ca5a23d3950b48894cd70,1b0e995ad4f329fdd2b19fc1bd362eaa,aeea3e3efbc42cdcac3792bd491008cb,e01ccd749960b04699eef783119e25ae,af190b852cec0d6eb78c15eb0e8777e0,7e7f8ede26a674373ffdcc82edd0c8ef,1a92722547b385dfa1b0b2df156a2bd2,e8165c825d679874a9c71c16408fbbfd,4b47b8f499c97cd1428049f40d97e58b,a22679e53c11aba5867a14375e321a9a,353dc9e514176baefc24b952e1309bba,be5f7561425c2fdf15e1347047e3a7ba,a7bea5999b2f1d02010a6b88c8fbefb5,50b5c8dd233219a563488f774ef181ef,9104c4b42757f253f35768d341c2a32b,5b417a0a0068c9b6e23752143b558bc4,a7773d30c5a2009a19ba2df73fe658c1,fffe37a9c181d9cef73d90e60bad5c3f,24d821dddfbe031b81a44817e6d6a4c1,b7ed1f3d13eba1ab1d14d5554deb832e,8b6d0623814cc32595951876bc568900,0b015de4cd64900ca4c2e39049136f9e,19a5cde0d8194c833b06f8a1f43df4bb,99afea602eb398fa3c9a3f2476472a42,72ba70297f3cb1f18ca4b6d6bd72b9c9,258888d59976d9f8e12b0e5bb78be7ee,c41af3ba7aeabdb1886cf01eddb79139
47228,0,0,0,0.05128205128205129,0,0,0.38461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20987654320987656,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,0.10256410256410257,0,0,0,0,0.06172839506172839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024691358024691357,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05128205128205129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27286,0,0,0,0,0,0,0.7222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16901,0,0,0,0,0,0.012345679012345678,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478260869565216,0,0,0,0,0,0,0,0.23564143853998926,0,0,0,0,0,0,0,0.25925925925925924,0,0,0,0,0,0,0.11594202898550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21434,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24434,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14720,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L380.4,0,0,0,0,0,0,0,0,0,0.7142857142857143,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53683,0,0,0,0,0,0,0,0,0,0,0.9794238683127572,0,0,0,0,0,0,0.0205761316872428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54736,0,0,0,0,0,0,0.26666666666666666,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
